epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4351.87,1.56951,1.68365,2.10093,0.66232,0.67118,0.70814,0.38992,1.51672,1.48911,2.11405,0.0011882,0.0011882,0.0011882
43,4450.66,1.5506,1.6259,2.1051,0.61056,0.69951,0.68585,0.37147,1.49243,1.45871,2.13813,0.0011684,0.0011684,0.0011684
44,4548.84,1.56438,1.65171,2.09615,0.67844,0.70567,0.73894,0.42927,1.4057,1.36539,2.01151,0.0011486,0.0011486,0.0011486
45,4646.42,1.50995,1.60574,2.0495,0.63659,0.7076,0.69245,0.37617,1.49467,1.43374,2.13208,0.0011288,0.0011288,0.0011288
46,4744.3,1.5397,1.58173,2.05566,0.68766,0.68103,0.72668,0.42283,1.4028,1.39893,1.9877,0.001109,0.001109,0.001109
47,4842.46,1.5206,1.61465,2.04433,0.68647,0.70443,0.7383,0.42138,1.42391,1.30887,2.03043,0.0010892,0.0010892,0.0010892
48,4939.6,1.5527,1.6007,2.0691,0.68528,0.72044,0.74482,0.42268,1.45274,1.33815,2.02808,0.0010694,0.0010694,0.0010694
49,5036.53,1.50449,1.58788,2.05283,0.68358,0.73768,0.75642,0.45538,1.35943,1.23772,1.97771,0.0010496,0.0010496,0.0010496
50,5134.09,1.50572,1.54868,2.03586,0.6577,0.76355,0.74458,0.43993,1.3486,1.29628,1.95608,0.0010298,0.0010298,0.0010298
51,5232.25,1.47361,1.53312,2.00511,0.70974,0.71798,0.76813,0.43928,1.38662,1.26225,1.99076,0.00101,0.00101,0.00101
52,5330.78,1.45568,1.53674,1.99839,0.73733,0.72906,0.78865,0.46823,1.37622,1.24515,1.96309,0.0009902,0.0009902,0.0009902
53,5429.01,1.4799,1.48284,2.00529,0.74159,0.73512,0.79974,0.47634,1.38152,1.19409,1.954,0.0009704,0.0009704,0.0009704
